id,channelNum,display-name,url
14596.stations.xmltv.tvmedia.ca,903,MC - Dance/EDM,WWW.MUSICCHOICE.COM
14588.stations.xmltv.tvmedia.ca,904,MC - Indie,WWW.MUSICCHOICE.COM
14577.stations.xmltv.tvmedia.ca,905,MC - Hip-Hop and R&B,WWW.MUSICCHOICE.COM
14597.stations.xmltv.tvmedia.ca,906,MC - Rap,WWW.MUSICCHOICE.COM
14598.stations.xmltv.tvmedia.ca,907,MC - Hip-Hop Classics,WWW.MUSICCHOICE.COM
14599.stations.xmltv.tvmedia.ca,908,MC - Throwback Jamz,www.musicchoice.com
14600.stations.xmltv.tvmedia.ca,909,MC - R&B Classics,WWW.MUSICCHOICE.COM
14601.stations.xmltv.tvmedia.ca,910,MC - R&B Soul,www.musicchoice.com
14557.stations.xmltv.tvmedia.ca,911,MC - Gospel,WWW.MUSICCHOICE.COM
14558.stations.xmltv.tvmedia.ca,912,MC - Reggae,WWW.DMXMUSIC.COM
14561.stations.xmltv.tvmedia.ca,913,MC - Rock,WWW.MUSICCHOICE.COM
14562.stations.xmltv.tvmedia.ca,914,MC - Metal,WWW.MUSICCHOICE.COM
14563.stations.xmltv.tvmedia.ca,915,MC - Alternative,WWW.MUSICCHOICE.COM
14564.stations.xmltv.tvmedia.ca,916,MC - Adult Alternative,WWW.MUSICCHOICE.COM
14560.stations.xmltv.tvmedia.ca,917,MC - Rock Hits,WWW.MUSICCHOICE.COM
14559.stations.xmltv.tvmedia.ca,918,MC - Classic Rock,WWW.MUSICCHOICE.COM
14565.stations.xmltv.tvmedia.ca,919,MC - Soft Rock,WWW.MUSICCHOICE.COM
15019.stations.xmltv.tvmedia.ca,920,MC - Love Songs,WWW.MUSICCHOICE.COM
14567.stations.xmltv.tvmedia.ca,921,MC - Pop Hits,WWW.MUSICCHOICE.COM
14572.stations.xmltv.tvmedia.ca,922,MC - Party Favorites,WWW.MUSICCHOICE.COM
15021.stations.xmltv.tvmedia.ca,923,MC - Teen Beats,WWW.MUSICCHOICE.COM
14574.stations.xmltv.tvmedia.ca,924,MC - Kidz Only!,WWW.MUSICCHOICE.COM
14575.stations.xmltv.tvmedia.ca,925,MC - Toddler Tunes,WWW.MUSICCHOICE.COM
15020.stations.xmltv.tvmedia.ca,926,MC - Y2K,WWW.MUSICCHOICE.COM
14568.stations.xmltv.tvmedia.ca,927,MC - 90's,WWW.MUSICCHOICE.COM
14569.stations.xmltv.tvmedia.ca,928,MC - 80's,WWW.MUSICCHOICE.COM
14570.stations.xmltv.tvmedia.ca,929,MC - 70's,WWW.MUSICCHOICE.COM
14571.stations.xmltv.tvmedia.ca,930,MC - Solid Gold Oldies,WWW.MUSICCHOICE.COM
15022.stations.xmltv.tvmedia.ca,931,MC - Pop Country,WWW.MUSICCHOICE.COM
14576.stations.xmltv.tvmedia.ca,932,MC - Today's Country,WWW.DMXMUSIC.COM
14578.stations.xmltv.tvmedia.ca,933,MC - Country Hits,WWW.MUSICCHOICE.COM
14579.stations.xmltv.tvmedia.ca,934,MC - Classic Country,WWW.MUSICCHOICE.COM
14580.stations.xmltv.tvmedia.ca,935,MC - Contemporary Christian,WWW.MUSICCHOICE.COM
14592.stations.xmltv.tvmedia.ca,936,MC - Pop Latino,WWW.MUSICCHOICE.COM
14591.stations.xmltv.tvmedia.ca,937,MC - Music Urbana,WWW.DMXMUSIC.COM
14594.stations.xmltv.tvmedia.ca,938,MC - Mexicana,WWW.MUSICCHOICE.COM
14593.stations.xmltv.tvmedia.ca,939,MC - Tropicales,WWW.MUSICCHOICE.COM
14595.stations.xmltv.tvmedia.ca,940,MC - Romances,WWW.MUSICCHOICE.COM
14581.stations.xmltv.tvmedia.ca,941,MC - Sounds of The Seasons,WWW.MUSICCHOICE.COM
14573.stations.xmltv.tvmedia.ca,942,MC - Stage & Screen,WWW.MUSICCHOICE.COM
14582.stations.xmltv.tvmedia.ca,943,MC - Soundscapes,WWW.MUSICCHOICE.COM
14583.stations.xmltv.tvmedia.ca,944,MC - Smooth Jazz,WWW.MUSICCHOICE.COM
14584.stations.xmltv.tvmedia.ca,945,MC - Jazz,WWW.MUSICCHOICE.COM
14585.stations.xmltv.tvmedia.ca,946,MC - Blues,WWW.MUSICCHOICE.COM
14586.stations.xmltv.tvmedia.ca,947,MC - Singers & Swing,WWW.MUSICCHOICE.COM
14587.stations.xmltv.tvmedia.ca,948,MC - Easy Listening,WWW.MUSICCHOICE.COM
14589.stations.xmltv.tvmedia.ca,949,MC - Classical Masterpieces,WWW.MUSICCHOICE.COM
14590.stations.xmltv.tvmedia.ca,950,MC - Light Classical,WWW.MUSICCHOICE.COM
2628.stations.xmltv.tvmedia.ca,963,TV5 Monde USA,
6868.stations.xmltv.tvmedia.ca,966,RAI Italia 1,www.international.rai.it/
5263.stations.xmltv.tvmedia.ca,968,RTN+ - Russian Television Network,
9604.stations.xmltv.tvmedia.ca,972,TFC - The Filipino Channel,
8673.stations.xmltv.tvmedia.ca,975,TVK (Cambodian),www.tvk24.com
2937.stations.xmltv.tvmedia.ca,976,VGNTV (Saigon Broadcasting Television Network),
